"keys","en","cn"
"O6GY","A friendly creature as long as you don't make it angry. Unfortunately it gets angry pretty fast.","A friendly creature as long as you don't make it angry. Unfortunately it gets angry pretty fast."
"ROVO","Advanced tower that will critical strike if it is has enough mana.","Advanced tower that will critical strike if it is has enough mana."
"V32H","Do you hear the howl of the storm?","Do you hear the howl of the storm?"
"2NY8","Do you hear the howl of the storm?","Do you hear the howl of the storm?"
"R8TU","Do you hear the howl of the storm?","Do you hear the howl of the storm?"
"VZKI","Do you hear the howl of the storm?","Do you hear the howl of the storm?"
"UVIS","A friendly and cuddly creature as long it isn't angry. Unfortunately it is always angry whenever it ain't sleeping.","A friendly and cuddly creature as long it isn't angry. Unfortunately it is always angry whenever it ain't sleeping."
"SC8B","Do you hear the howl of the storm?","Do you hear the howl of the storm?"
"PNCR","Selfish creature, harbinger of the void.","Selfish creature, harbinger of the void."
"VKXW","Wanders in the cold northern lands, looking for preys.","Wanders in the cold northern lands, looking for preys."
"T358","Wanders in the cold northern lands, looking for preys.","Wanders in the cold northern lands, looking for preys."
"QJ7U","Wanders in the cold northern lands, looking for preys.","Wanders in the cold northern lands, looking for preys."
"XBEW","A friendly, cuddly and fluffy creature as long as it isn't angry. Unfortunately it is always angry, even when it's sleeping.","A friendly, cuddly and fluffy creature as long as it isn't angry. Unfortunately it is always angry, even when it's sleeping."
"Q626","Damn, there are no trees.","Damn, there are no trees."
"WNX3","It likes to hug people.","It likes to hug people."
"BAMF","It likes to hug people.","It likes to hug people."
"UNKN","It likes to hug people.","It likes to hug people."
"AXH7","It likes to hug people.","It likes to hug people."
"1L6M","It likes to hug people.","It likes to hug people."
"N93Y","A truly inspiring sight.","A truly inspiring sight."
"EUCU","This tower gains mana by attacking and can use it to gain an attack speed boost.","This tower gains mana by attacking and can use it to gain an attack speed boost."
"DKL5","This tower gains mana by attacking and can use it to gain an attack speed boost.","This tower gains mana by attacking and can use it to gain an attack speed boost."
"6FJ9","This tower gains mana by attacking and can use it to gain an attack speed boost.","This tower gains mana by attacking and can use it to gain an attack speed boost."
"PX6K","The closer you are to the light, the bigger your shadow is.","The closer you are to the light, the bigger your shadow is."
"P7ZF","A statue built in honor of the great Obsidian Warrior. Legend often depicts him wearing nothing but a dark shroud, though his true story is shrouded in darkness.","A statue built in honor of the great Obsidian Warrior. Legend often depicts him wearing nothing but a dark shroud, though his true story is shrouded in darkness."
"71SH","Tower with a chance to slow the movement speed of a unit on attacks.","Tower with a chance to slow the movement speed of a unit on attacks."
"T1MT","Tower with a chance to slow the movement speed of a unit on attacks.","Tower with a chance to slow the movement speed of a unit on attacks."
"0UET","Tower with a chance to slow the movement speed of a unit on attacks.","Tower with a chance to slow the movement speed of a unit on attacks."
"SZOZ","Tower with a chance to slow the movement speed of a unit on attacks.","Tower with a chance to slow the movement speed of a unit on attacks."
"DB8T","A warrior trained high in the sky.","A warrior trained high in the sky."
"JUKU","A warrior trained high in the sky.","A warrior trained high in the sky."
"ICXK","A warrior trained high in the sky.","A warrior trained high in the sky."
"ABRB","A warrior trained high in the sky.","A warrior trained high in the sky."
"7VGT","A warrior trained high in the sky.","A warrior trained high in the sky."
"Z9T3","A piece of a black heart. Poisons many enemies.","A piece of a black heart. Poisons many enemies."
"Z0LN","Basic tower with high attack speed and multicrit chance.","Basic tower with high attack speed and multicrit chance."
"WI20","Basic tower with high attack speed and multicrit chance.","Basic tower with high attack speed and multicrit chance."
"IW5N","Basic tower with high attack speed and multicrit chance.","Basic tower with high attack speed and multicrit chance."
"QRLX","Basic tower with high attack speed and multicrit chance.","Basic tower with high attack speed and multicrit chance."
"LE3V","Become one with water. Become a turtle.","Become one with water. Become a turtle."
"WV1X","Become one with water. Become a turtle.","Become one with water. Become a turtle."
"G1RT","Become one with water. Become a turtle.","Become one with water. Become a turtle."
"WUWB","Accelerates particles from within a minute anti-gravity field. These particles destroy mana.","Accelerates particles from within a minute anti-gravity field. These particles destroy mana."
"6WSF","Accelerates particles from within a minute anti-gravity field. These particles destroy mana.","Accelerates particles from within a minute anti-gravity field. These particles destroy mana."
"9B31","Accelerates particles from within a minute anti-gravity field. These particles destroy mana.","Accelerates particles from within a minute anti-gravity field. These particles destroy mana."
"H5WY","Quite an advanced construction for its times. It harbors a pulsating red crystal at its center, which has been rumored to drive lesser beings insane.","Quite an advanced construction for its times. It harbors a pulsating red crystal at its center, which has been rumored to drive lesser beings insane."
"BL7R","A very advanced construction for its times. It harbors a throbbing red crystal at its center, which has been rumored to drive anyone insane.","A very advanced construction for its times. It harbors a throbbing red crystal at its center, which has been rumored to drive anyone insane."
"4BQP","A piece of a black heart. Poisons many enemies.","A piece of a black heart. Poisons many enemies."
"02KU","A piece of a black heart. Poisons many enemies.","A piece of a black heart. Poisons many enemies."
"IHO6","A piece of a black heart. Poisons many enemies.","A piece of a black heart. Poisons many enemies."
"KX76","The Master of Hate, Anger and Rage corrupts all the innocent hearts to make them rot.","The Master of Hate, Anger and Rage corrupts all the innocent hearts to make them rot."
"A5V5","A highly esteemed foot soldier with moderate self esteem.","A highly esteemed foot soldier with moderate self esteem."
"0U76","Every 1000 years, the most powerful demons meet in a council.","Every 1000 years, the most powerful demons meet in a council."
"L42W","Shines moonlight on the enemies in its vicinity weakening their resistances.","Shines moonlight on the enemies in its vicinity weakening their resistances."
